@relation 'breast-cancer-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R1,8-9,24,31-32,34-37,49_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A38-N200-T1.0E-4'

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute Source_8 numeric
@attribute Source_9 numeric
@attribute Source_10 numeric
@attribute Source_11 numeric
@attribute Source_12 numeric
@attribute Source_13 numeric
@attribute Source_14 numeric
@attribute Source_15 numeric
@attribute Source_16 numeric
@attribute Source_17 numeric
@attribute Source_18 numeric
@attribute Source_19 numeric
@attribute Source_20 numeric
@attribute Source_21 numeric
@attribute Source_22 numeric
@attribute Source_23 numeric
@attribute Source_24 numeric
@attribute Source_25 numeric
@attribute Source_26 numeric
@attribute Source_27 numeric
@attribute Source_28 numeric
@attribute Source_29 numeric
@attribute Source_30 numeric
@attribute Source_31 numeric
@attribute Source_32 numeric
@attribute Source_33 numeric
@attribute Source_34 numeric
@attribute Source_35 numeric
@attribute Source_36 numeric
@attribute Source_37 numeric
@attribute Class {no-recurrence-events,recurrence-events}

@data
-0.018916,0.003105,0.072933,-0.086034,0.015053,-0.135321,-0.023403,-0.041241,0.153101,0.090454,0.010371,-0.008932,0.079407,-0.025181,-0.010266,-0.065906,-0.083814,0.002845,0.055162,-0.016575,-0.119313,0.005131,-0.090442,0.004633,-0.052926,0.081104,-0.098185,-0.083627,0.007588,0.012332,0.056128,0.024134,-0.041939,-0.0316,0.008928,0.032414,-0.001756,0.058493,recurrence-events
-0.020869,0.058036,-0.050846,-0.044065,-0.041344,0.049489,0.044804,-0.059734,-0.08048,0.049927,-0.009679,-0.010153,-0.011276,-0.036656,0.028552,-0.009266,-0.043042,0.030433,-0.000014,-0.065159,-0.109791,0.052372,0.023831,0.002924,0.010123,0.047169,0.06246,-0.066415,0.092916,0.034461,0.080054,-0.048452,0.211112,-0.014174,-0.007063,-0.011043,0.051223,-0.014871,no-recurrence-events
-0.007197,-0.027169,-0.013004,0.026759,-0.075279,0.018914,0.062412,-0.064922,-0.094457,0.061157,-0.073369,-0.008444,0.006714,-0.023228,0.047351,-0.037372,0.030688,0.097571,-0.02394,-0.008274,0.026195,0.122807,0.051709,0.018305,0.024222,-0.06831,-0.000528,0.080192,-0.046122,-0.032025,-0.081567,-0.024389,0.034568,0.126969,0.020891,0.00214,-0.064256,-0.064554,recurrence-events
-0.028281,-0.00087,-0.003425,-0.061279,-0.104805,0.014384,-0.089491,-0.071054,0.085888,0.13897,-0.061821,0.029058,-0.038153,0.054196,0.067659,-0.132924,-0.043035,0.04569,0.020065,-0.003468,-0.042539,0.064444,-0.04056,-0.051611,-0.044463,-0.054379,-0.162814,0.04655,-0.140672,0.02463,-0.044184,0.044106,-0.008878,0.093345,-0.033846,0.022565,-0.048247,0.022377,no-recurrence-events
0.038213,0.000907,-0.020573,0.059229,0.07621,-0.109839,-0.013638,-0.029766,0.049586,-0.022827,-0.027227,-0.069967,0.084443,0.041225,0.029773,-0.005603,0.045215,0.090735,0.006822,0.006863,0.02473,-0.042721,-0.038135,0.032954,-0.083688,-0.045849,-0.105997,0.097038,0.092549,0.039043,0.123511,-0.042639,-0.070321,-0.056014,0.093156,-0.038387,-0.039354,0.058249,recurrence-events
-0.01168,0.01622,-0.020027,-0.01416,0.059258,-0.034689,-0.056166,0.049796,-0.0938,-0.050483,-0.044609,0.034918,0.003167,0.114743,0.002229,0.004283,0.015071,-0.087122,0.012253,-0.040578,-0.017148,-0.041025,0.037565,0.080225,0.092256,-0.074887,0.141873,0.019939,0.018508,-0.004888,-0.040278,-0.100364,0.048862,0.020347,0.087004,-0.006732,0.097261,-0.000572,no-recurrence-events
0.009404,-0.063302,0.024105,0.126612,-0.022545,0.007074,0.024448,0.018818,0.077906,0.020142,-0.001836,0.011576,0.008851,-0.013463,-0.049329,0.051953,-0.093091,-0.042077,0.031724,-0.003879,-0.02361,-0.002682,-0.016711,0.078852,-0.022653,0.065479,0.058065,-0.02015,0.134542,-0.005505,-0.092309,0.014612,0.00637,-0.012313,0.087541,0.030461,0.009963,-0.063577,no-recurrence-events
0.068974,-0.075997,0.001644,-0.01206,0.082924,-0.018805,-0.061489,-0.010479,0.017359,-0.050171,-0.002812,-0.004049,0.075257,0.004115,-0.043469,0.011914,0.022143,0.01261,0.033677,-0.065403,0.0135,0.052983,-0.09093,0.00854,0.019339,0.09087,-0.023966,0.044303,0.011495,-0.005048,0.026832,0.060999,-0.051247,-0.022078,0.048479,0.022648,-0.013475,-0.016702,no-recurrence-events
0.067021,0.031547,-0.043888,-0.069143,-0.016136,-0.026854,0.001804,-0.090923,-0.007299,0.103638,0.062495,-0.249777,0.056107,0.015834,0.007312,0.021008,0.023669,-0.094323,-0.000991,0.100125,-0.001393,-0.019771,-0.027591,0.031489,0.059256,-0.050488,-0.047892,0.082755,-0.082011,0.01432,-0.138452,0.112238,-0.130208,-0.104232,-0.022017,0.006535,0.0334,0.021994,no-recurrence-events
0.118203,0.04454,-0.122566,0.067872,-0.038398,0.074015,0.051256,-0.051766,0.074169,-0.183296,-0.130547,-0.026606,0.003167,-0.029788,-0.029021,-0.030873,-0.064519,0.110143,0.008347,-0.168507,0.072695,-0.052744,0.029753,-0.093604,0.009248,-0.174496,-0.069064,-0.026936,0.023391,-0.100743,-0.149653,0.169655,0.151401,-0.057778,-0.112215,-0.131732,0.294527,-0.055259,no-recurrence-events
-0.032588,-0.01545,0.0368,-0.020116,-0.028404,-0.036261,-0.020596,0.077656,-0.108129,0.043579,-0.011846,-0.002096,-0.040161,-0.012486,-0.035657,0.033917,-0.009351,-0.005944,0.03856,-0.011692,0.040843,0.010014,0.03999,-0.009039,0.033011,-0.030224,0.069784,-0.004769,-0.009013,-0.081342,-0.024926,-0.040014,-0.024026,-0.025374,0.08925,-0.017391,-0.021287,0.008689,no-recurrence-events
