@relation 'optdigits_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute -0.273input3-0.26input59-0.234input11-0.232input10-0.221input4... numeric
@attribute 0.259input6+0.254input15-0.245input61+0.234input7+0.234input14... numeric
@attribute -0.321input44-0.29input45-0.267input36-0.254input37+0.254input39... numeric
@attribute '0.238input62+0.22 input21+0.211input29-0.196input52+0.195input54...' numeric
@attribute '0.28 input50-0.265input56-0.239input63+0.229input42-0.222input16...' numeric
@attribute -0.286input19-0.278input26-0.259input27+0.256input50+0.221input16... numeric
@attribute '0.32 input53+0.273input24+0.233input16-0.215input43+0.197input18...' numeric
@attribute -0.302input13-0.28input22-0.273input52-0.253input53-0.221input12... numeric
@attribute -0.257input51-0.244input16+0.239input2+0.235input64-0.234input8... numeric
@attribute -0.352input41-0.305input49-0.269input33-0.222input6+0.213input2... numeric
@attribute 0.276input33+0.276input41+0.257input17+0.251input25+0.221input24... numeric
@attribute 0.323input17+0.257input25-0.25input60-0.233input56+0.224input62... numeric
@attribute -0.4input48-0.298input17-0.284input25-0.254input56+0.234input37... numeric
@attribute -0.278input28+0.264input17+0.261input46-0.236input27+0.225input25... numeric
@attribute -0.474input33+0.397input57+0.312input32+0.302input49-0.248input41... numeric
@attribute -0.371input25+0.349input5-0.255input17+0.246input32+0.239input10... numeric
@attribute 0.386input57-0.34input32-0.234input5-0.227input56-0.221input24... numeric
@attribute -0.363input37-0.273input46-0.252input22-0.243input38-0.239input30... numeric
@attribute 0.729input9-0.29input25-0.224input58-0.172input2-0.15input12... numeric
@attribute -0.376input9+0.328input8-0.23input12+0.224input16+0.222input26... numeric
@attribute 0.478input57-0.423input32-0.284input52+0.221input61-0.214input7... numeric
@attribute -0.531input48+0.411input64+0.223input35+0.193input63+0.171input34... numeric
@attribute -0.312input33+0.304input5-0.279input57-0.259input32+0.248input61... numeric
@attribute 0.287input29+0.257input34+0.252input26-0.245input46+0.226input61... numeric
@attribute 0.286input7+0.266input15-0.241input5-0.238input8-0.218input58... numeric
@attribute 0.385input17-0.37input49-0.358input25+0.238input5+0.224input57... numeric
@attribute '0.54 input17-0.53input25+0.254input49-0.193input57+0.154input8...' numeric
@attribute '-0.351input24+0.327input32+0.31 input10+0.271input8-0.217input50...' numeric
@attribute '0.363input52-0.358input12+0.243input54+0.22 input53-0.204input10...' numeric
@attribute -0.295input20+0.274input50-0.253input45-0.249input59+0.233input52... numeric
@attribute -0.298input24+0.266input13+0.243input50+0.242input32+0.242input8... numeric
@attribute -0.389input53-0.316input39+0.295input46-0.284input47-0.265input14... numeric
@attribute -0.359input50+0.247input19-0.215input26-0.214input55+0.212input39... numeric
@attribute 0.304input19-0.299input35+0.275input39-0.263input30+0.261input31... numeric
@attribute '-0.354input12+0.3  input13+0.264input7-0.238input20-0.23input31...' numeric
@attribute -0.305input20-0.299input44+0.279input53+0.275input29-0.235input24... numeric
@attribute 0.303input51-0.245input31-0.239input42+0.229input26+0.206input20... numeric
@attribute 0.447input56+0.324input30-0.255input64-0.244input48-0.238input39... numeric
@attribute -0.333input21+0.307input41-0.271input33-0.242input31+0.233input42... numeric
@attribute 0.496input41-0.304input33-0.295input49+0.243input63-0.235input10... numeric
@attribute 0.416input51+0.337input31+0.317input37+0.276input7-0.246input23... numeric
@attribute -0.31input41-0.289input4-0.281input54+0.249input60+0.216input61... numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
0.296606,-1.446321,3.8627,-3.223311,0.773562,-0.631793,0.163718,-0.474665,1.085007,0.027991,-0.215878,0.171057,0.150033,0.019437,-0.076157,0.289675,-0.744462,0.387356,0.654489,0.744068,0.469823,-0.494527,-0.503143,-1.278825,-0.410527,0.228367,-0.265291,1.247247,0.102158,0.056785,-0.557561,-0.158281,0.155763,-0.123918,0.067124,0.790103,-0.298496,-0.701237,-0.604922,0.108847,0.517513,-0.494276,0
0.156704,-3.065415,5.811138,-3.231811,1.064575,-0.03135,0.270278,-2.091646,1.487231,0.998206,0.727149,1.093959,0.446925,-0.163227,-0.501382,0.545353,0.031631,-0.37615,0.685337,2.369629,0.720339,0.280986,-0.081149,0.187069,1.761673,-0.705947,-0.06826,0.738707,0.449917,-0.378185,-0.696665,0.145402,-0.374745,0.425515,0.116745,-0.038339,0.214054,0.056633,0.090158,-0.132595,0.754632,0.204174,0
0.753862,3.261659,-0.779587,-1.108877,0.310997,0.814476,-4.306932,-0.84129,1.16641,0.126714,1.490498,-0.36138,0.092629,0.377991,0.554102,0.763961,-0.229039,0.209224,0.088468,0.56773,-0.005816,0.724113,-0.114165,-0.453131,-0.436933,0.552745,-0.099227,0.082371,-0.135071,0.345254,0.150914,-1.034128,0.655927,-0.242494,-0.013803,-0.801452,-0.302547,-0.236347,-0.136613,0.08698,-0.572737,0.060104,7
4.226203,1.900151,0.441446,1.32943,-0.149207,-2.709908,2.128019,-0.206309,1.659672,-0.573533,-0.56051,0.439368,-0.605985,-2.31825,-0.5592,-0.381777,0.389347,0.175704,-0.424863,-0.771348,0.048943,-0.313685,0.578437,0.929833,-0.047453,-0.205988,0.232109,-0.976881,-0.283417,0.46006,0.291732,-0.676406,-0.287434,0.099512,-1.36425,1.125384,0.694421,0.463051,0.42025,0.489658,0.943532,0.845889,4
-0.582932,-3.490229,1.60207,-1.052494,-1.360616,-0.406438,-0.662519,2.572391,-0.341318,-0.066226,0.756894,-0.166181,0.619692,-0.751689,0.537968,-1.53809,0.645358,0.787575,0.799409,-0.08831,-0.047218,0.039932,-0.636543,0.057328,-0.397687,-0.128105,0.119265,0.316111,0.733029,0.46057,-1.103744,-0.24976,-0.18219,-0.393459,0.242173,0.903095,0.18975,0.364521,-0.10152,0.267552,0.094533,-0.085998,6
-3.418148,-0.827456,-0.839448,1.565981,-3.092323,0.125212,2.081299,-3.646186,2.580184,-1.352183,-0.785516,-1.224201,0.588401,-0.508743,0.355142,-0.147807,-0.900529,-1.175285,0.146858,1.168827,0.016885,1.610576,-0.036613,-0.441471,-1.22397,0.589044,-0.069173,0.116158,0.088147,-0.993754,0.995973,-0.022902,0.111209,-0.381699,1.52026,0.209686,-0.170621,0.230905,0.375328,-0.325226,0.005642,0.334987,2
2.266783,1.41289,1.349549,0.272513,-0.396753,-1.728847,1.307264,-1.049317,0.417503,0.38579,-0.656702,-1.058012,-1.103721,-0.26745,0.253997,-1.325382,0.958161,1.899703,0.827165,-1.007327,-0.545782,-0.196368,-0.37884,0.657899,-0.630514,0.027623,0.079335,0.347099,0.258866,-0.107657,-0.459897,0.349198,0.048801,0.047349,0.55788,-0.572027,-0.64228,0.379589,-1.251717,0.387481,-0.020446,-0.432912,5
-0.219196,0.859583,1.049677,-0.03652,0.090748,-2.455707,2.114138,-0.089579,-0.167223,0.092031,-0.331693,-1.242533,-0.478255,0.020958,0.333986,-1.003825,0.997774,1.150277,0.926036,0.092322,-0.998366,-0.58254,-0.915085,0.020466,-0.142016,0.415965,-0.240646,-0.3912,-0.605931,0.036576,-0.3429,0.423844,-0.168932,-0.731512,-0.218235,0.020836,0.410463,-0.292638,0.222418,0.732845,0.064942,0.933574,5
2.555304,-0.260652,2.86177,-3.105741,1.304819,0.352774,1.152124,-1.029204,0.069416,0.000628,-2.607855,-0.835221,-1.826626,0.04168,-0.387743,-0.673096,-0.48853,0.186533,0.283511,0.372953,-1.073294,0.435457,-0.012691,-0.459044,1.583486,0.665633,-1.110929,-1.504776,0.014087,-0.674498,0.313275,-1.376976,-0.969414,0.465894,-0.766639,0.477339,0.924344,-0.858937,-0.188698,0.693477,-1.040095,0.54306,0
-1.502106,-1.950795,0.673397,-0.36885,-0.197468,-2.071175,-0.319429,1.114056,-1.025438,0.309755,2.1632,0.215821,-0.558256,-1.206252,-0.910846,1.005887,0.994779,-0.456738,0.190783,1.471151,-0.468407,0.712852,0.355171,0.238476,0.394415,0.339488,-0.278143,0.639495,-0.372837,0.635703,-1.591454,-0.474233,-0.809811,0.38861,0.023465,0.230915,1.02806,-0.35215,-0.694051,0.776032,-0.014584,-0.543737,8
