@relation optdigits-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
90.066642,-34.641016,-60.621778,-27.712813,-55.425626,-3.464102,6.928203,10.392305,27.712813,-19.052559,0
114.315353,-1.732051,-71.014083,-13.856406,-81.406388,3.464102,13.856406,25.980762,51.961524,-5.196152,0
20.78461,24.248711,24.248711,-50.229473,22.51666,46.765372,-22.51666,51.961524,31.176915,19.052559,7
50.229473,-19.052559,-53.693575,-43.30127,-74.478185,65.817931,-29.444864,-46.765372,53.693575,8.660254,4
77.942286,-43.30127,-50.229473,-20.78461,-103.923048,-22.51666,-6.928203,-12.124356,-38.105118,19.052559,6
126.439709,3.464102,-38.105118,-71.014083,-25.980762,22.51666,5.196152,32.908965,13.856406,102.190998,2
76.210236,-19.052559,-31.176915,-20.78461,-39.837169,29.444864,8.660254,-22.51666,32.908965,-1.732051,5
93.530744,-25.980762,-51.961524,-34.641016,-51.961524,29.444864,-25.980762,-3.464102,6.928203,24.248711,5
95.262794,-45.033321,-67.549981,-19.052559,-74.478185,-25.980762,5.196152,-20.78461,27.712813,-25.980762,0
83.138439,-3.464102,-46.765372,-69.282032,-77.942286,46.765372,13.856406,25.980762,-32.908965,45.033321,8
74.478185,-39.837169,19.052559,24.248711,24.248711,84.87049,-29.444864,6.928203,-8.660254,3.464102,7
22.51666,19.052559,-19.052559,-81.406388,-38.105118,79.674337,5.196152,-29.444864,43.30127,36.373067,1
95.262794,-38.105118,-65.817931,25.980762,-32.908965,51.961524,-36.373067,-45.033321,64.08588,24.248711,9
93.530744,-31.176915,-58.889727,-45.033321,-64.08588,51.961524,-24.248711,0,5.196152,24.248711,5
83.138439,24.248711,-5.196152,-79.674337,10.392305,45.033321,-32.908965,36.373067,34.641016,69.282032,3
79.674337,-19.052559,-64.08588,-20.78461,-39.837169,-31.176915,3.464102,13.856406,67.549981,-22.51666,0
32.908965,-1.732051,-53.693575,-62.353829,-45.033321,58.889727,-15.588457,-32.908965,53.693575,-3.464102,4
45.033321,-0,51.961524,-29.444864,24.248711,88.334591,-15.588457,-0,-13.856406,24.248711,7
79.674337,1.732051,-20.78461,-8.660254,-51.961524,24.248711,1.732051,-31.176915,-13.856406,43.30127,8
84.87049,-1.732051,-81.406388,-31.176915,-95.262794,69.282032,-58.889727,-32.908965,69.282032,0,4
