@relation optdigits-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N50-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute K11 numeric
@attribute K12 numeric
@attribute K13 numeric
@attribute K14 numeric
@attribute K15 numeric
@attribute K16 numeric
@attribute K17 numeric
@attribute K18 numeric
@attribute K19 numeric
@attribute K20 numeric
@attribute K21 numeric
@attribute K22 numeric
@attribute K23 numeric
@attribute K24 numeric
@attribute K25 numeric
@attribute K26 numeric
@attribute K27 numeric
@attribute K28 numeric
@attribute K29 numeric
@attribute K30 numeric
@attribute K31 numeric
@attribute K32 numeric
@attribute K33 numeric
@attribute K34 numeric
@attribute K35 numeric
@attribute K36 numeric
@attribute K37 numeric
@attribute K38 numeric
@attribute K39 numeric
@attribute K40 numeric
@attribute K41 numeric
@attribute K42 numeric
@attribute K43 numeric
@attribute K44 numeric
@attribute K45 numeric
@attribute K46 numeric
@attribute K47 numeric
@attribute K48 numeric
@attribute K49 numeric
@attribute K50 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
90.066642,-34.641016,-60.621778,-27.712813,-55.425626,-3.464102,6.928203,10.392305,27.712813,-19.052559,20.78461,74.478185,51.961524,55.425626,0,-0,128.17176,55.425626,-24.248711,38.105118,5.196152,-67.549981,5.196152,31.176915,31.176915,19.052559,-48.497423,-32.908965,13.856406,-19.052559,10.392305,48.497423,25.980762,83.138439,38.105118,-27.712813,-48.497423,135.099963,57.157677,41.569219,-103.923048,-107.38715,46.765372,-32.908965,57.157677,-3.464102,155.884573,-25.980762,-39.837169,-64.08588,0
114.315353,-1.732051,-71.014083,-13.856406,-81.406388,3.464102,13.856406,25.980762,51.961524,-5.196152,50.229473,72.746134,84.87049,64.08588,24.248711,39.837169,169.740979,72.746134,-51.961524,19.052559,-12.124356,-51.961524,3.464102,17.320508,39.837169,24.248711,-74.478185,-51.961524,0,-12.124356,19.052559,36.373067,8.660254,91.798693,15.588457,-36.373067,-60.621778,143.760217,90.066642,39.837169,-69.282032,-124.707658,19.052559,-43.30127,126.439709,20.78461,161.080725,-29.444864,-25.980762,-96.994845,0
20.78461,24.248711,24.248711,-50.229473,22.51666,46.765372,-22.51666,51.961524,31.176915,19.052559,51.961524,13.856406,166.276878,10.392305,39.837169,-55.425626,124.707658,121.243557,46.765372,117.779455,65.817931,3.464102,53.693575,71.014083,90.066642,-36.373067,20.78461,55.425626,62.353829,32.908965,-12.124356,-31.176915,67.549981,55.425626,72.746134,17.320508,-27.712813,211.310199,55.425626,71.014083,-122.975607,-76.210236,53.693575,-100.458947,32.908965,34.641016,126.439709,48.497423,-12.124356,53.693575,7
50.229473,-19.052559,-53.693575,-43.30127,-74.478185,65.817931,-29.444864,-46.765372,53.693575,8.660254,72.746134,116.047404,27.712813,19.052559,-1.732051,-6.928203,102.190998,103.923048,-84.87049,20.78461,152.420471,-74.478185,17.320508,-34.641016,39.837169,20.78461,-27.712813,109.119201,55.425626,-96.994845,-98.726896,-69.282032,48.497423,-39.837169,164.544827,-19.052559,-81.406388,129.903811,46.765372,50.229473,-145.492268,-117.779455,50.229473,-93.530744,93.530744,62.353829,128.17176,41.569219,-50.229473,-1.732051,4
77.942286,-43.30127,-50.229473,-20.78461,-103.923048,-22.51666,-6.928203,-12.124356,-38.105118,19.052559,43.30127,103.923048,31.176915,46.765372,-43.30127,-43.30127,126.439709,71.014083,24.248711,41.569219,-5.196152,-77.942286,6.928203,13.856406,-10.392305,76.210236,-17.320508,-19.052559,1.732051,32.908965,-24.248711,50.229473,-0,60.621778,31.176915,-6.928203,-38.105118,116.047404,29.444864,-48.497423,-58.889727,-55.425626,67.549981,-62.353829,53.693575,53.693575,98.726896,-46.765372,12.124356,-58.889727,6
126.439709,3.464102,-38.105118,-71.014083,-25.980762,22.51666,5.196152,32.908965,13.856406,102.190998,43.30127,58.889727,60.621778,51.961524,43.30127,34.641016,145.492268,86.60254,-6.928203,39.837169,48.497423,-48.497423,6.928203,-3.464102,60.621778,8.660254,-51.961524,31.176915,74.478185,-20.78461,22.51666,-67.549981,20.78461,55.425626,119.511506,6.928203,-65.817931,152.420471,8.660254,25.980762,-121.243557,-58.889727,10.392305,-114.315353,88.334591,0,140.296115,-36.373067,-86.60254,-27.712813,2
76.210236,-19.052559,-31.176915,-20.78461,-39.837169,29.444864,8.660254,-22.51666,32.908965,-1.732051,77.942286,45.033321,41.569219,76.210236,36.373067,-10.392305,150.68842,53.693575,-31.176915,27.712813,46.765372,-32.908965,46.765372,-31.176915,67.549981,-27.712813,-24.248711,1.732051,34.641016,-55.425626,-60.621778,34.641016,53.693575,45.033321,43.30127,-15.588457,-39.837169,128.17176,34.641016,39.837169,-136.832014,-121.243557,-10.392305,-62.353829,116.047404,-12.124356,95.262794,17.320508,-90.066642,17.320508,5
93.530744,-25.980762,-51.961524,-34.641016,-51.961524,29.444864,-25.980762,-3.464102,6.928203,24.248711,38.105118,79.674337,27.712813,69.282032,32.908965,8.660254,83.138439,24.248711,-24.248711,71.014083,62.353829,-79.674337,15.588457,-3.464102,51.961524,10.392305,-19.052559,-17.320508,41.569219,-72.746134,-5.196152,13.856406,25.980762,3.464102,77.942286,-6.928203,-39.837169,117.779455,45.033321,67.549981,-98.726896,-121.243557,38.105118,3.464102,103.923048,8.660254,84.87049,27.712813,-79.674337,-5.196152,5
95.262794,-45.033321,-67.549981,-19.052559,-74.478185,-25.980762,5.196152,-20.78461,27.712813,-25.980762,41.569219,103.923048,67.549981,72.746134,34.641016,36.373067,124.707658,79.674337,-43.30127,8.660254,17.320508,-62.353829,-3.464102,65.817931,25.980762,24.248711,-62.353829,3.464102,29.444864,-60.621778,-34.641016,32.908965,34.641016,84.87049,36.373067,-10.392305,-22.51666,152.420471,93.530744,88.334591,-176.669182,-166.276878,105.655099,-8.660254,81.406388,-6.928203,136.832014,38.105118,-79.674337,-62.353829,0
83.138439,-3.464102,-46.765372,-69.282032,-77.942286,46.765372,13.856406,25.980762,-32.908965,45.033321,53.693575,83.138439,55.425626,50.229473,-51.961524,-76.210236,206.114046,60.621778,12.124356,114.315353,8.660254,-88.334591,57.157677,17.320508,79.674337,34.641016,-20.78461,24.248711,27.712813,43.30127,-29.444864,12.124356,32.908965,77.942286,90.066642,-13.856406,-25.980762,185.329436,13.856406,20.78461,-102.190998,-69.282032,39.837169,-79.674337,100.458947,77.942286,103.923048,-51.961524,-36.373067,-6.928203,8
74.478185,-39.837169,19.052559,24.248711,24.248711,84.87049,-29.444864,6.928203,-8.660254,3.464102,27.712813,57.157677,110.851252,17.320508,96.994845,-34.641016,164.544827,180.133284,-39.837169,6.928203,88.334591,-34.641016,60.621778,96.994845,60.621778,-15.588457,64.08588,88.334591,-19.052559,-13.856406,-57.157677,12.124356,91.798693,12.124356,86.60254,-41.569219,-36.373067,147.224319,-13.856406,36.373067,-168.008928,-159.348674,133.367912,-67.549981,100.458947,6.928203,117.779455,71.014083,-34.641016,79.674337,7
22.51666,19.052559,-19.052559,-81.406388,-38.105118,79.674337,5.196152,-29.444864,43.30127,36.373067,62.353829,55.425626,98.726896,-22.51666,-13.856406,-50.229473,95.262794,76.210236,60.621778,69.282032,95.262794,-58.889727,81.406388,-12.124356,74.478185,6.928203,-3.464102,129.903811,86.60254,60.621778,-65.817931,-86.60254,65.817931,10.392305,155.884573,38.105118,-67.549981,116.047404,13.856406,65.817931,-162.812776,-17.320508,-13.856406,-154.152522,60.621778,25.980762,93.530744,-36.373067,-62.353829,38.105118,1
95.262794,-38.105118,-65.817931,25.980762,-32.908965,51.961524,-36.373067,-45.033321,64.08588,24.248711,57.157677,117.779455,58.889727,39.837169,38.105118,-1.732051,119.511506,119.511506,-77.942286,24.248711,131.635861,-103.923048,32.908965,-10.392305,39.837169,-10.392305,-27.712813,76.210236,34.641016,-105.655099,-67.549981,-20.78461,57.157677,0,150.68842,-8.660254,-45.033321,145.492268,36.373067,62.353829,-176.669182,-168.008928,65.817931,-81.406388,114.315353,50.229473,119.511506,76.210236,-51.961524,29.444864,9
93.530744,-31.176915,-58.889727,-45.033321,-64.08588,51.961524,-24.248711,0,5.196152,24.248711,43.30127,100.458947,15.588457,79.674337,22.51666,12.124356,98.726896,15.588457,-19.052559,88.334591,71.014083,-96.994845,5.196152,8.660254,43.30127,27.712813,-10.392305,-22.51666,39.837169,-81.406388,1.732051,10.392305,17.320508,1.732051,102.190998,-15.588457,-57.157677,117.779455,25.980762,67.549981,-114.315353,-138.564065,43.30127,-12.124356,117.779455,15.588457,102.190998,5.196152,-62.353829,-13.856406,5
83.138439,24.248711,-5.196152,-79.674337,10.392305,45.033321,-32.908965,36.373067,34.641016,69.282032,55.425626,39.837169,95.262794,25.980762,34.641016,-29.444864,114.315353,69.282032,29.444864,74.478185,77.942286,-72.746134,48.497423,19.052559,64.08588,-25.980762,12.124356,-1.732051,22.51666,53.693575,-0,-39.837169,-6.928203,19.052559,86.60254,22.51666,-32.908965,178.401233,6.928203,31.176915,-109.119201,-60.621778,60.621778,-95.262794,76.210236,46.765372,79.674337,-17.320508,-6.928203,36.373067,3
